,문제번호,원래 text,정답 text,문제유형
0,1,,,어법상 맞는 표현 고르는 문제
1,3,"The importance of the ""ensitive period""of socialization in domestic animals (A) has / have been emphasized time and again in both scientific and popular literature. A sensitive period is the time when an experience that a young animal does or does not have will have the greatest effect on its later behavior. The time period that most pet owners are concerned with (B) is / being the socialization period. It is this time period which helps shape the later behavior of the pet in its relationship to people. At the present time, the sensitive period for socialization in cats is thought to be from 3-7 weeks, with a range of 2-9 weeks. The early onset of this period makes the first few weeks of a kitten’ life very (C) significant / significantly .","The importance of the ""ensitive period""of socialization in domestic animals has been emphasized time and again in both scientific and popular literature. A sensitive period is the time when an experience that a young animal does or does not have will have the greatest effect on its later behavior. The time period that most pet owners are concerned with is the socialization period. It is this time period which helps shape the later behavior of the pet in its relationship to people. At the present time, the sensitive period for socialization in cats is thought to be from 3-7 weeks, with a range of 2-9 weeks. The early onset of this period makes the first few weeks of a kitten’ life very significant",어법상 맞는 표현 고르는 문제
2,3,,,어법상 맞는 표현 고르는 문제
3,3,"Pastoralist groups in East Africa have been victims of a tourism policy that has promoted safari tourism at the expense of people. The Maasai have been one of the groups worst (A) affecting / affected by displacement―hrown off the land that they and their animals have inhabited for centuries. Conservationists defended their policy of creating national parks and evicting people by arguing that nomadic groups (B) alike / like the Maasai were responsible for over-grazing and the over-hunting of wildlife. The effect has been devastating. George Monbiot, the environmentalist, has argued that the Maasai have lost ‘ll but two of their major dry season pastures and drought reserves.’Now they are confined to spaces (C) that / where cannot support their herds and their growing populations.                                                         *pastoralist 목축민","Pastoralist groups in East Africa have been victims of a tourism policy that has promoted safari tourism at the expense of people. The Maasai have been one of the groups worst affected by displacement―hrown off the land that they and their animals have inhabited for centuries. Conservationists defended their policy of creating national parks and evicting people by arguing that nomadic groups like the Maasai were responsible for over-grazing and the over-hunting of wildlife. The effect has been devastating. George Monbiot, the environmentalist, has argued that the Maasai have lost ‘ll but two of their major dry season pastures and drought reserves.’Now they are confined to spaces that cannot support their herds and their growing populations.                                                         *pastoralist 목축민",어법상 맞는 표현 고르는 문제
4,3,"About fifty years ago, a Pygmy (A) named / was named Kenge took his first trip out of the dense, tropical forest of Africa and onto the open plains in the company of an anthropologist. Buffalos appeared in the distance―small black specks against a bleached sky―and the Pygmy surveyed them curiously. Finally he turned to the anthropologist and asked what kind of insects they were. ""hen I told Kenge (B) that / if the insects were buffalos, he roared with laughter and told me not to tell such stupid lies,""wrote the anthropologist. The anthropologist wasn’ stupid and he hadn’ lied. Rather, because Kenge had lived his entire life in a dense jungle that offered no views of the horizon, he had failed to learn what most of us take for granted, namely, (C) that / those things look different when they are far away.","About fifty years ago, a Pygmy named Kenge took his first trip out of the dense, tropical forest of Africa and onto the open plains in the company of an anthropologist. Buffalos appeared in the distance―small black specks against a bleached sky―and the Pygmy surveyed them curiously. Finally he turned to the anthropologist and asked what kind of insects they were. ""hen I told Kenge that the insects were buffalos, he roared with laughter and told me not to tell such stupid lies,""wrote the anthropologist. The anthropologist wasn’ stupid and he hadn’ lied. Rather, because Kenge had lived his entire life in a dense jungle that offered no views of the horizon, he had failed to learn what most of us take for granted, namely, that things look different when they are far away.",어법상 맞는 표현 고르는 문제
5,3,"One way for a salesperson to gather knowledge about competitors is to study available literature and bulletins (A) publishing / published on competitive products. These bulletins can usually be obtained at trade shows. Additional facts can be gathered by reading trade journals and competitors’ advertisements. It may be helpful for the salesperson to cut out and save each ad run by the competitors, because these ads reveal what products they are pushing. These ads will also reveal what features and benefits they are promoting on their products. (B) Have / Having this information enables a salesperson to make counter pitches. A salesperson can also compare competitive ads and bulletins with his company’s material and perhaps assist the advertising department in (C) improving / improvement the company’s brochures and advertising.","One way for a salesperson to gather knowledge about competitors is to study available literature and bulletins published on competitive products. These bulletins can usually be obtained at trade shows. Additional facts can be gathered by reading trade journals and competitors’ advertisements. It may be helpful for the salesperson to cut out and save each ad run by the competitors, because these ads reveal what products they are pushing. These ads will also reveal what features and benefits they are promoting on their products. Having this information enables a salesperson to make counter pitches. A salesperson can also compare competitive ads and bulletins with his company’s material and perhaps assist the advertising department in improving the company’s brochures and advertising.",어법상 맞는 표현 고르는 문제
6,7,,,어법상 맞는 표현 고르는 문제
7,3,"Humans don’t swell up like blowfish or change colors like chameleons. Our reactions are (A) seeing / seen in more subtle expressions, tones of voice, and body language. Consider this: recognizing someone’s facial expression takes less than one-sixth of a second. We can process expressions from as far as 100 yards away. How can we do this? We pay attention. Humans are attuned to facial expressions as an indicator of what their companions are (B) thinking / thought. Because we think facial expressions are important, we pay attention to them. Because we pay attention to facial expressions, we react to them. Because we react, facial expressions become important to our communication. The next time someone asks you (C) if / that you like the dinner they made and you say ""It’s good,"" remember the other person is paying attention not only to what you say, but also to other messages you might be communicating.","Humans don’t swell up like blowfish or change colors like chameleons. Our reactions are seen in more subtle expressions, tones of voice, and body language. Consider this: recognizing someone’s facial expression takes less than one-sixth of a second. We can process expressions from as far as 100 yards away. How can we do this? We pay attention. Humans are attuned to facial expressions as an indicator of what their companions are thinking. Because we think facial expressions are important, we pay attention to them. Because we pay attention to facial expressions, we react to them. Because we react, facial expressions become important to our communication. The next time someone asks you if you like the dinner they made and you say ""It’s good,"" remember the other person is paying attention not only to what you say, but also to other messages you might be communicating.",어법상 맞는 표현 고르는 문제
8,3,"If music and movies were important features of youth culture, clothing may have been equally significant. High school students in earlier decades often had dressed like miniature adults, with boys (A) wearing / worn coats and ties and girls dresses or skirts. As the number of students in school increased, these standards of dress began to (B) consider / be considered outmoded. As one study of students in Milwaukee found, by the later 1950s high school students there had shed coats, ties, and dresses in favor of slacks, shirts, and sweaters. In the 1960s high school dress codes became a subject of student protests and were (C) eliminated / eliminating in schools across the country. By the 1970s jeans and T-shirts were the norm in many schools, even among younger faculty members, and adolescent tastes were becoming a major force in the world of adult fashion.","If music and movies were important features of youth culture, clothing may have been equally significant. High school students in earlier decades often had dressed like miniature adults, with boys wearing coats and ties and girls dresses or skirts. As the number of students in school increased, these standards of dress began to be considered outmoded. As one study of students in Milwaukee found, by the later 1950s high school students there had shed coats, ties, and dresses in favor of slacks, shirts, and sweaters. In the 1960s high school dress codes became a subject of student protests and were eliminated in schools across the country. By the 1970s jeans and T-shirts were the norm in many schools, even among younger faculty members, and adolescent tastes were becoming a major force in the world of adult fashion.",어법상 맞는 표현 고르는 문제
9,10,,,어법상 맞는 표현 고르는 문제
